mapName,keyword,date,weekday,hour,time,dateTime,price,tradeCount,timeUnit
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,12,12:00,2025-12-27 12:00:00,23769230.0,16,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,13,13:00,2025-12-27 13:00:00,17591879.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,14,14:00,2025-12-27 14:00:00,21428571.0,19,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,15,15:00,2025-12-27 15:00:00,21176470.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,16,16:00,2025-12-27 16:00:00,20866666.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,17,17:00,2025-12-27 17:00:00,19411764.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,18,18:00,2025-12-27 18:00:00,14115384.0,14,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,19,19:00,2025-12-27 19:00:00,12187830.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,20,20:00,2025-12-27 20:00:00,12027777.0,19,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,21,21:00,2025-12-27 21:00:00,12108796.0,26,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,22,22:00,2025-12-27 22:00:00,12571999.0,29,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,23,23:00,2025-12-27 23:00:00,13416666.0,21,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,0,00:00,2025-12-28 00:00:00,11809523.0,26,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,1,01:00,2025-12-28 01:00:00,11055555.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,2,02:00,2025-12-28 02:00:00,7947368.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,3,03:00,2025-12-28 03:00:00,7281250.0,19,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,4,04:00,2025-12-28 04:00:00,9944444.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,5,05:00,2025-12-28 05:00:00,8776401.0,21,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,6,06:00,2025-12-28 06:00:00,11714285.0,14,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,7,07:00,2025-12-28 07:00:00,12083333.0,15,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,8,08:00,2025-12-28 08:00:00,14052631.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,9,09:00,2025-12-28 09:00:00,14766666.0,16,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,10,10:00,2025-12-28 10:00:00,14630434.0,26,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,11,11:00,2025-12-28 11:00:00,14499999.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,12,12:00,2025-12-28 12:00:00,13266666.0,15,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,13,13:00,2025-12-28 13:00:00,12260233.0,24,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,14,14:00,2025-12-28 14:00:00,14038461.0,29,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,15,15:00,2025-12-28 15:00:00,14219999.0,29,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,16,16:00,2025-12-28 16:00:00,11104166.0,27,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,17,17:00,2025-12-28 17:00:00,9153571.0,30,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,18,18:00,2025-12-28 18:00:00,8085714.0,19,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,19,19:00,2025-12-28 19:00:00,7814999.0,35,HOURLY
